Q9682	Elizabeth%20II%20signature%201952.svg
Q9682	Signature%20of%20Elizabeth%20II.svg
Q9685	Lady%20Diana%20signature-vect.svg
Q9696	John%20F%20Kennedy%20Signature%202.svg
Q9711	Honor%C3%A9%20de%20Balzac%20signature%20c1842-43.svg
Q9726	Rossini%20Signature.png
Q9916	Dwight%20Eisenhower%20Signature.svg
Q9960	Ronald%20Reagan%20Signature2.svg
Q10218	Signature%20of%20Rahul%20Gandhi.svg
Q10664	Neville%20Chamberlain%20Signature%202.svg
Q10665	Kim%20Jong-il%20Signature.svg
Q10873	Caprivi%20Signature.svg
Q11031	Vilfredo%20Pareto%20signature.png
Q11075	Al-Sufi%20depicted%20in%20Albrecht%20D%C3%BCrers%20%27The%20Northern%20Celestial%20Hemisphere%27%20%281515%29.jpg
Q11093	Solanas-signature.png
Q11116	Ruth%20Bader%20Ginsburg%20signature.svg
Q11237	Nelson%20A%20Rockefeller%20Signature.svg
Q11256	Fidel%20Castro%20Signature.svg
Q11613	Harry%20S.%20Truman%20signature.png
Q11662	Steffi%20Graf%20signature.png
Q11758	Originala%20Verkaro-L%20L%20Zamenhof%20signature.svg
Q11762	Signature%20J.%20Trittin.gif
Q11806	John%20Adams%20Sig%202.svg
Q11813	James%20Madison%20Signature.png
Q11816	John%20Quincy%20Adams%20Signature.svg
Q11860	Silvio%20Berlusconi%20Signature.svg
Q11941	Carl%20barks%20signature.svg
Q11975	Britney%20Spears%20signature.svg
Q12003	Cher%20signature.svg
Q12091	Sammelaktie%20M%C3%BChlen%20Mons%20Djemila.jpg
Q12113	Firma%20Hugo%20Pratt.svg
Q12571	Edmond%20Privat%20signature.svg
Q12658	Signatur%20Wilhelm%20Ostwald.JPG
Q12674	Diesel%20Unterschrift.png
Q12706	MaximGorkySignature.svg
Q12735	Signatur%20Johann%20Amos%20Comenius.PNG
Q12807	Umberto%20Eco%20signature.svg
Q12860	Fernando%20firma.jpg
Q12897	Firma%20de%20Pel%C3%A9.svg
Q12950	Alain%20Poher%20signature.png
Q12967	Signature%20of%20Leopold%20II%20of%20Belgium.svg
Q12971	Signature%20of%20Leopold%20I%20of%20Belgium.svg
Q13230	Ferdinand%20de%20Saussure%20signature.png
