10026041-X	Peter-Weiss-Stiftung_f%C3%BCr_Kunst_und_Politik
100261299	Karl_Rottmanner
100261779	Johann_Baptist_Rousseau
100263690	Carl_Ulysses_von_Salis-Marschlins
100264913	Christoph_Schorer
100265820	Bernhard_Nathanael_Gottlob_Schreger
100265979	Ernst_Friedrich_%28Sachsen-Coburg-Saalfeld%29
100266193	Konrad_von_Schmidt-Phiseldeck
10026705X	Klamer_Eberhard_Karl_Schmidt
100267904	Karl_Schnaase
100268013	Matthias_Schneckenburger
100268021	Gotthilf_Heinrich_Schnee
100268498	Julius_Franz_Borgias_Schneller
100268579	Johann_Matthias_Schneuber
100268714	Christian_Friedrich_von_Schnurrer
10026936-9	Ch._Links_Verlag
100269435	Gottlob_Benedikt_von_Schirach
10026995-3	Neue_Galerie_New_York
10027064-5	Haus_der_Brandenburgisch-Preu%C3%9Fischen_Geschichte
100272053	Franz_Karl_Leopold_von_Seckendorf-Aberdar
10027327-0	Burg_Galerie_im_Volkspark
100276318	Karl_Friedrich_St%C3%A4udlin
100278043	Friedrich_Christoph_F%C3%B6rster
100283713	Augustus_Bozzi_Granville
10028517-X	Schweizerische_Gesellschaft_f%C3%BCr_Geschichte
1002858-4	Israelische_Akademie_der_Wissenschaften
10028586-7	Eizenbergerhof
100286062	Ludwig_Giesebrecht
10028642-2	Silpakorn-Universit%C3%A4t
10028888X	Friedrich_Johann_Jacobsen
100289452	Christian_Joseph_Jagemann
100289614	August_%28Sachsen-Gotha-Altenburg%29
100289843	Christian_David_Jani
100291597	Johann_Theodor_Benjamin_Helfrecht
10029180-6	Caricatura_Museum_f%C3%BCr_Komische_Kunst
10029286-0	Hessen-Forst
1002947-3	ADAC
100294871	Wilhelm_Friedrich_Hufnagel
1002954-0	Bach-Archiv_Leipzig
1002956-4	Neue_Bachgesellschaft
10029569X	Karl_Bernhard_Hundeshagen
10029869-2	Universit%C3%A4t_der_K%C3%BCnste_Berlin
10029887-4	Verband_deutscher_Archivarinnen_und_Archivare
100299059	Pierre_de_Lancre
1002994-1	Banco_de_la_Rep%C3%BAblica
10030172-1	B%C3%BCchereien_Wien
10030322-5	Uphagenhaus_Danzig
100303501	Anton_von_Klein
10030396X	Gustav_Friedrich_Klemm
100307051	Charles-Joseph_Mayer
100308023	August_Gottlieb_Mei%C3%9Fner
100308104	Friedrich_Meisner
10030830-2	Chr._Harbers
10030850-8	Ministerium_der_Finanzen_des_Landes_Nordrhein-Westfalen
100308805	Johann_Daniel_Metzger
100309038	Johann_Georg_Meusel
100309283	Johann_Heinrich_Meynier
100309674	Adolph_Michaelis
100310281	Jakob_Micyllus
10031248-2	Brecht-Haus_%28Berlin%29
10031389-9	Universit%C3%A4t_Hradec_Kr%C3%A1lov%C3%A9
100315275	Johann_Heinrich_Oesterreicher
100315399	Georg_von_Oettl
100316794	Carl_Ignaz_Geiger
100317278	Johann_Jacob_Reiske
100317340	Ferdinand_Reisner
10031889-7	M%C3%A4dchengymnasium_J%C3%BClich
10032112-4	Fliegende_Bauten_Hamburg
1003218-6	Neue_Galerie_Graz
10032455X	Emil_von_Richthofen
100324703	Herman_Johan_Royaards
10032532-4	Caritas-Pirckheimer-Haus
100325947	Friedrich_Karl_Julius_Sch%C3%BCtz
1003288-5	Bibliothek_Luis_%C3%81ngel_Arango
1003289-7	Kantonsbibliothek_Lugano
10032900-7	Jackson_Pollock_Bar
100329578	Friedrich_Christian_Schlenkert
1003296-4	Brasilianische_Nationalbibliothek
10032988-3	Hamburger_Universit%C3%A4t_f%C3%BCr_Wirtschaft_und_Politik
1003302-6	Vatikanische_Apostolische_Bibliothek
1003311-7	Galleria_civica_d%E2%80%99arte_moderna_e_contemporanea
1003317-8	Freer_Gallery_of_Art
1003320-8	National_Gallery_of_Canada
1003324-5	Tate_Gallery
100334237	August_Gottfried_Schweitzer
10033448-9	Constantin_Film
100335101	Renatus_Karl_von_Senckenberg
100337910	Johann_Baptist_Bergopzoomer
100339743	Johann_Michael_von_Soeltl
100341276	Maternus_Steyndorffer
100341632	Karl_Steinlein
10034179-2	Universit%C3%A4tsklinikum_Hamburg-Eppendorf
100342337	Pierre_Simon_Fournier
10034317-X	Melodie_der_Welt_%28Musikverlag%29
100346340	Konstantin_Karl_Falkenstein
10034659-5	Koordinierungsstelle_Magdeburg
10034680-7	Herbartgymnasium_Oldenburg
100347401	Johann_Martin_Gehrig
10034760-5	Kunstraum_Kreuzberg%2FBethanien
