1008426-5	Office_de_Radiodiffusion_T%C3%A9l%C3%A9vision_Fran%C3%A7aise
1008433-2	Det_kongelige_nordiske_oldskriftselskab
1008452-6	Benediktinerkongregation_von_St._Ottilien
1008469-1	FDP_Bayern
1008516-6	Pax_Christi
10085357-2	Deutsche_Welle
1008551-8	Phi_Beta_Kappa
10086257-3	Ullstein_Verlag
1008657-2	Nordischer_Rat
1008660-2	Sveriges_Radio
10086662-1	Europ%C3%A4isches_Zentrum_der_K%C3%BCnste_Hellerau
10086969-5	Verlag_Kultur_und_Fortschritt
10087047-8	Universit%C3%A4t_Daugavpils
1008744-8	Cambridge_University_Press
1008746-1	Friedenauer_Presse
1008748-5	International_Press_Institute
1008750-3	Evangelischer_Presseverband_f%C3%BCr_Bayern
10087616-X	Landesbibliothekszentrum_Rheinland-Pfalz
10088969-4	Schloss_Brundlund
1008914-7	Metropolitan_Museum_of_Art
1008941-X	Institut_fran%C3%A7ais_M%C3%BCnchen
10089444-6	Max_Ernst_Museum_Br%C3%BChl_des_LVR
1008948-2	Kunstsammlungen_der_Veste_Coburg
1008949-4	Schweizerischer_Kunstverein
1008969-X	Commonwealth_Scientific_and_Industrial_Research_Organisation
10089992-4	Wespennest_%28Zeitschrift%29
1009006-X	BayernSPD
1009021-6	M%C3%BCnchner_Philharmoniker
10090342-3	Calmann-L%C3%A9vy
10090478-6	Fakult%C3%A4t_f%C3%BCr_Interdisziplin%C3%A4re_Forschung_und_Fortbildung
10090794-5	Schweizerische_Botschaft_in_Berlin
10091007-5	Max_Reinhardt_Seminar
10091428-7	Kunstmuseum_M%C3%BClheim_an_der_Ruhr
10091728-8	C._Angerer_%26_G%C3%B6schl
10092256-9	Museum_Arbeitswelt_Steyr
10092627-7	Malediva
10093834-6	Kulturmuseum_St._Gallen
1009415-5	American_Society_of_Composers%2C_Authors_and_Publishers
10094504-1	Landesarchiv_Nordrhein-Westfalen
10094516-8	DB_Fernverkehr
1009452-0	Rijksmuseum_Amsterdam
10094653-7	Philologisch-Kulturwissenschaftliche_Fakult%C3%A4t_der_Universit%C3%A4t_Wien
10094902-2	Museum_der_Moderne_Salzburg
1009492-1	Rotary_International
10095242-2	IG_Autorinnen_Autoren
10095268-9	Oberappellationsgericht_der_vier_Freien_St%C3%A4dte
1009538-X	Piccolo_Teatro_di_Milano
10095509-5	Gottfried_Wilhelm_Leibniz_Bibliothek_%E2%80%93_Nieders%C3%A4chsische_Landesbibliothek
1009585-8	Polnische_Philosophische_Gesellschaft
10096221-X	Amadeu_Antonio_Stiftung
10096915-X	Universit%C3%A4tsbibliothek_Johann_Christian_Senckenberg
10097004-7	Regionalverband_Ruhr
1009716-8	Hessischer_Rundfunk
1009744-2	Saarl%C3%A4ndische_Staatskanzlei
10097786-8	C%2FO_Berlin
10098253-0	Anne_Frank_Zentrum
10098688-2	Universit%C3%A4t_Urbino
1009893-8	Society_for_the_Promotion_of_Roman_Studies
10099719-3	Kunstmuseum_Stuttgart
10099835-5	Stiftung_Schloss_Friedenstein_Gotha
1009986-4	British_School_at_Rome
10099991-8	Muthesius_Kunsthochschule
1010079-9	Finnische_Wissenschaftliche_Gesellschaft
10100878-8	Bibliothek_der_J%C3%BCdischen_Gemeinde_zu_Berlin
10101547-1	Br%C3%BCder_Grimm-Haus
1010159-7	Jewish_Publication_Society
10101756-X	Staatstheater_Augsburg
1010290-5	Bundesversammlung_%28Schweiz%29
10102945-7	Alfred_A._Knopf%2C_Inc.
10103039-3	Radboud-Universit%C3%A4t_Nijmegen
10103318-7	Curtis_Institute_of_Music
1010343-0	Soci%C3%A9t%C3%A9_g%C3%A9n%C3%A9rale_de_banque
1010374-0	Soci%C3%A9t%C3%A9_des_%C3%A9tudes_robespierristes
10103784-3	Deutsche_Bank_Stiftung
1010450-1	Universit%C3%A4t_Genf
1010478-1	Universit%C3%A4t_Rouen
1010501-3	Christlich-Demokratische_Union_Deutschlands_%28DDR%29
1010516-5	Interparlamentarische_Union
10105308-3	Luzerner_Theater
1010554-2	Universit%C3%A4t_Murcia
1010555-4	Universit%C3%A4t_Salamanca
10105561-4	Staatssekretariat_f%C3%BCr_Migration
1010559-1	Universidad_de_Deusto
1010568-2	Universit%C3%A4t_Coimbra
1010570-0	Universidade_de_S%C3%A3o_Paulo
1010575-X	Universit%C3%A4t_L%E2%80%99Aquila
1010593-1	Universit%C3%A4t_Genua
10106146-8	Institute_of_Languages%2C_Cultures_and_Societies
10106249-7	Kunsthalle_St._Annen
10106400-7	Neue_Oper_Wien
10106608-9	Balilla
1010694-7	Universiteit_van_Amsterdam
